worker_id,status,current_dispatch_id,current_task_id,current_lat,current_lon,location_accuracy_m,battery_level,network_status,last_seen_at,last_location_at,status_updated_at,dataset_version,import_batch_id
W00024,OFF_DUTY,,,35.137662,129.02113,6.6,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00025,AVAILABLE,,,35.198565,129.080858,13.4,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00026,AVAILABLE,,,35.199635,129.06454,6.4,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00027,AVAILABLE,,,35.211419,129.074514,12.5,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00028,AVAILABLE,,,35.195685,129.067542,18.0,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00029,AVAILABLE,,,35.203469,129.0956,17.3,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00030,OFF_DUTY,,,35.19048,129.079191,16.7,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00031,AVAILABLE,,,35.127754,129.11414,15.5,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00032,AVAILABLE,,,35.176662,129.101787,13.1,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00033,AVAILABLE,,,35.153996,129.113326,12.6,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00034,AVAILABLE,,,35.135021,129.121832,12.7,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00035,AVAILABLE,,,35.174057,129.074172,8.3,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00036,OFF_DUTY,,,35.146283,129.087911,19.6,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00037,AVAILABLE,,,35.232144,129.01098,11.1,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00038,AVAILABLE,,,35.255644,129.001815,18.8,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00039,AVAILABLE,,,35.251087,129.03431,16.5,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00040,AVAILABLE,,,35.250066,129.050415,18.1,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00041,AVAILABLE,,,35.218379,129.034982,10.6,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00042,OFF_DUTY,,,35.226926,129.004503,15.7,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00043,AVAILABLE,,,35.209316,129.143206,18.6,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00044,AVAILABLE,,,35.200502,129.138499,11.9,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00045,AVAILABLE,,,35.203189,129.136254,6.9,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00046,AVAILABLE,,,35.20059,129.161815,13.0,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00047,AVAILABLE,,,35.219376,129.180436,15.8,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00048,OFF_DUTY,,,35.21764,129.160517,12.1,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00049,AVAILABLE,,,35.130412,128.952146,11.8,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00050,AVAILABLE,,,35.13219,128.952524,17.7,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00051,AVAILABLE,,,35.124739,128.986992,13.1,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00052,AVAILABLE,,,35.118451,128.966365,19.5,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00053,AVAILABLE,,,35.095416,128.988778,10.2,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00054,OFF_DUTY,,,35.095652,128.98524,10.3,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00055,AVAILABLE,,,35.248429,129.109672,9.8,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00056,AVAILABLE,,,35.263822,129.111304,19.1,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00057,AVAILABLE,,,35.246445,129.09443,13.5,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00058,AVAILABLE,,,35.25347,129.079427,11.6,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00059,AVAILABLE,,,35.286662,129.101894,8.6,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00060,OFF_DUTY,,,35.246421,129.081168,13.2,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00061,AVAILABLE,,,35.120708,128.840644,15.4,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00062,AVAILABLE,,,35.119011,128.82326,16.3,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00063,AVAILABLE,,,35.095727,128.856324,13.3,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00064,AVAILABLE,,,35.116246,128.860139,7.9,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00065,AVAILABLE,,,35.139832,128.856813,18.9,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00066,OFF_DUTY,,,35.11477,128.833985,15.6,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00067,AVAILABLE,,,35.182436,129.11139,9.2,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00068,AVAILABLE,,,35.16358,129.079902,18.1,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00069,AVAILABLE,,,35.153356,129.107838,12.5,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00070,AVAILABLE,,,35.173022,129.088875,10.0,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00071,AVAILABLE,,,35.186734,129.079897,19.7,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00072,OFF_DUTY,,,35.17239,129.099426,9.9,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00073,AVAILABLE,,,35.150639,129.106622,15.6,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00074,AVAILABLE,,,35.141882,129.120368,11.3,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00075,AVAILABLE,,,35.18173,129.104116,17.9,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00076,AVAILABLE,,,35.166604,129.118665,11.3,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00077,AVAILABLE,,,35.137961,129.117488,9.7,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00078,OFF_DUTY,,,35.16777,129.102429,8.5,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00079,AVAILABLE,,,35.157276,129.00095,13.9,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00080,AVAILABLE,,,35.186944,128.979014,15.7,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00081,AVAILABLE,,,35.174414,128.991846,12.5,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00082,AVAILABLE,,,35.1705,128.997581,13.6,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00083,AVAILABLE,,,35.16295,128.99903,15.3,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00084,OFF_DUTY,,,35.170359,128.986696,7.1,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00085,AVAILABLE,,,35.260405,129.181986,9.9,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00086,AVAILABLE,,,35.285641,129.221573,16.6,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00087,AVAILABLE,,,35.277589,129.177601,9.0,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00088,AVAILABLE,,,35.306569,129.209254,13.0,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00089,AVAILABLE,,,35.264722,129.221384,17.3,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00090,OFF_DUTY,,,35.261601,129.218533,16.8,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00091,AVAILABLE,,,35.933551,128.646209,6.8,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00092,AVAILABLE,,,35.94013,128.66213,7.3,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00093,AVAILABLE,,,35.954386,128.672043,15.4,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00094,AVAILABLE,,,35.918409,128.674004,6.9,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00095,AVAILABLE,,,35.921303,128.654593,17.8,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00096,OFF_DUTY,,,35.941303,128.67369,15.1,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00097,AVAILABLE,,,35.8974,128.547029,10.1,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00098,AVAILABLE,,,35.863418,128.530705,15.0,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00099,AVAILABLE,,,35.899094,128.548716,18.0,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00100,AVAILABLE,,,35.8808,128.52557,19.4,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00101,AVAILABLE,,,35.86463,128.545721,8.3,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00102,OFF_DUTY,,,35.874263,128.551692,17.3,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00103,AVAILABLE,,,35.81555,128.586697,10.6,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00104,AVAILABLE,,,35.851944,128.578612,10.5,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00105,AVAILABLE,,,35.833358,128.591715,15.2,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00106,AVAILABLE,,,35.850589,128.590656,8.6,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00107,AVAILABLE,,,35.854475,128.598176,7.4,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00108,OFF_DUTY,,,35.849768,128.580033,16.1,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00109,AVAILABLE,,,35.971559,128.592406,13.2,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00110,AVAILABLE,,,35.950352,128.569147,9.4,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00111,AVAILABLE,,,35.940001,128.559861,8.0,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00112,AVAILABLE,,,35.936629,128.567707,15.7,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00113,AVAILABLE,,,35.972875,128.568957,11.9,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00114,OFF_DUTY,,,35.956633,128.59706,16.9,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00115,AVAILABLE,,,35.815433,128.650121,10.2,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00116,AVAILABLE,,,35.812883,128.618876,7.9,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00117,AVAILABLE,,,35.825042,128.642468,7.5,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00118,AVAILABLE,,,35.832959,128.628147,17.2,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00119,AVAILABLE,,,35.830016,128.621486,9.7,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00120,OFF_DUTY,,,35.817787,128.626464,19.3,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00121,AVAILABLE,,,35.827781,128.523684,18.0,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00122,AVAILABLE,,,35.839329,128.540664,13.4,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00123,AVAILABLE,,,35.813571,128.551815,9.0,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00124,AVAILABLE,,,35.841557,128.517404,12.0,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00125,AVAILABLE,,,35.827621,128.551105,6.0,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00126,OFF_DUTY,,,35.832501,128.517672,14.9,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00127,AVAILABLE,,,35.737269,128.479048,12.8,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00128,AVAILABLE,,,35.777367,128.489433,7.8,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00129,AVAILABLE,,,35.755451,128.47335,16.3,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00130,AVAILABLE,,,35.768626,128.474996,11.5,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00131,AVAILABLE,,,35.751428,128.444139,6.3,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00132,OFF_DUTY,,,35.742324,128.472642,14.6,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00133,AVAILABLE,,,36.210544,128.565437,9.3,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00134,AVAILABLE,,,36.222176,128.543109,18.5,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00135,AVAILABLE,,,36.195558,128.561094,17.8,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00136,AVAILABLE,,,36.227951,128.538959,12.3,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00137,AVAILABLE,,,36.224822,128.568053,10.3,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00138,OFF_DUTY,,,36.228186,128.553107,16.0,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00139,AVAILABLE,,,35.100615,126.842295,8.4,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
