worker_capability_id,worker_id,task_type,skill_level,can_work_solo,is_primary_skill,valid_from,valid_until,is_active,dataset_version,import_batch_id
WC000036,W00018,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000037,W00019,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000038,W00019,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000039,W00020,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000040,W00020,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000041,W00020,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000042,W00021,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000043,W00021,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000044,W00022,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000045,W00022,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000046,W00023,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000047,W00023,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000048,W00024,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000049,W00025,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000050,W00025,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000051,W00026,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000052,W00026,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000053,W00026,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000054,W00027,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000055,W00027,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000056,W00028,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000057,W00028,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000058,W00029,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000059,W00029,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000060,W00030,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000061,W00031,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000062,W00031,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000063,W00032,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000064,W00032,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000065,W00032,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000066,W00033,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000067,W00033,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000068,W00034,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000069,W00034,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000070,W00035,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000071,W00035,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000072,W00036,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000073,W00037,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000074,W00037,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000075,W00038,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000076,W00038,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000077,W00038,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000078,W00039,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000079,W00039,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000080,W00040,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000081,W00040,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000082,W00041,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000083,W00041,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000084,W00042,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000085,W00043,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000086,W00043,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000087,W00044,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000088,W00044,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000089,W00044,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000090,W00045,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000091,W00045,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000092,W00046,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000093,W00046,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000094,W00047,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000095,W00047,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000096,W00048,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000097,W00049,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000098,W00049,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000099,W00050,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000100,W00050,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000101,W00050,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000102,W00051,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000103,W00051,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000104,W00052,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000105,W00052,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000106,W00053,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000107,W00053,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000108,W00054,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000109,W00055,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000110,W00055,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000111,W00056,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000112,W00056,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000113,W00056,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000114,W00057,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000115,W00057,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000116,W00058,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000117,W00058,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000118,W00059,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000119,W00059,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000120,W00060,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000121,W00061,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000122,W00061,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000123,W00062,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000124,W00062,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000125,W00062,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000126,W00063,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000127,W00063,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000128,W00064,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000129,W00064,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000130,W00065,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000131,W00065,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000132,W00066,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000133,W00067,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000134,W00067,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000135,W00068,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000136,W00068,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000137,W00068,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000138,W00069,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000139,W00069,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000140,W00070,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000141,W00070,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000142,W00071,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000143,W00071,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000144,W00072,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000145,W00073,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000146,W00073,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000147,W00074,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000148,W00074,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000149,W00074,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000150,W00075,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000151,W00075,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000152,W00076,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000153,W00076,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000154,W00077,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000155,W00077,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000156,W00078,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000157,W00079,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000158,W00079,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000159,W00080,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000160,W00080,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000161,W00080,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000162,W00081,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000163,W00081,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000164,W00082,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000165,W00082,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000166,W00083,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000167,W00083,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000168,W00084,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000169,W00085,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000170,W00085,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000171,W00086,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000172,W00086,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000173,W00086,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000174,W00087,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000175,W00087,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000176,W00088,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000177,W00088,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000178,W00089,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000179,W00089,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000180,W00090,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000181,W00091,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000182,W00091,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000183,W00092,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000184,W00092,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000185,W00092,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000186,W00093,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000187,W00093,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000188,W00094,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000189,W00094,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000190,W00095,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000191,W00095,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000192,W00096,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000193,W00097,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000194,W00097,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000195,W00098,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000196,W00098,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000197,W00098,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000198,W00099,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000199,W00099,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000200,W00100,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000201,W00100,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000202,W00101,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000203,W00101,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000204,W00102,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000205,W00103,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000206,W00103,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000207,W00104,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000208,W00104,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000209,W00104,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000210,W00105,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000211,W00105,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000212,W00106,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000213,W00106,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000214,W00107,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000215,W00107,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000216,W00108,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000217,W00109,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000218,W00109,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000219,W00110,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000220,W00110,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000221,W00110,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000222,W00111,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000223,W00111,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000224,W00112,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000225,W00112,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000226,W00113,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000227,W00113,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000228,W00114,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000229,W00115,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000230,W00115,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000231,W00116,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000232,W00116,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000233,W00116,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000234,W00117,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000235,W00117,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000236,W00118,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000237,W00118,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000238,W00119,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000239,W00119,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000240,W00120,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000241,W00121,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000242,W00121,DRONE,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000243,W00122,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000244,W00122,DRONE,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000245,W00122,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000246,W00123,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000247,W00123,CONTROL,1,0,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000248,W00124,SURVEY,1,0,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000249,W00124,CONTROL,2,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000250,W00125,SURVEY,2,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000251,W00125,CONTROL,3,1,0,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
WC000252,W00126,SURVEY,3,1,1,2026-01-01,,1,3.0,WF_V3_ALL_REGIONS_20260718
